nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 04:04:34.101, 1, 126.82 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:04:44.100, 0, 119.19 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:04:44.101, 1, 126.78 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:04:54.100, 0, 119.21 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:04:54.101, 1, 126.83 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:05:04.100, 0, 119.21 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:05:04.100, 1, 126.82 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:05:14.100, 0, 119.21 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:05:14.100, 1, 126.77 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:05:24.100, 0, 119.24 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:05:24.101, 1, 126.80 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:05:34.101, 0, 119.11 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:05:34.101, 1, 126.31 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:05:44.101, 0, 118.87 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:05:44.101, 1, 126.11 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:05:54.101, 0, 118.81 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:05:54.101, 1, 126.48 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:06:04.100, 0, 118.74 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:06:04.101, 1, 126.53 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:06:14.100, 0, 118.78 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:06:14.101, 1, 126.51 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:06:24.100, 0, 118.97 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:06:24.100, 1, 126.63 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:06:34.100, 0, 118.92 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:06:34.100, 1, 126.57 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:06:44.100, 0, 119.03 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
