epoch,iso,phase,interval_ms,power.draw,utilization.gpu,utilization.memory,memory.used,clocks.sm,clocks.mem,temperature.gpu
1789867864.392,2026-09-20T01:31:04.391850+00:00,baseline,29.2,659.22,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.421,2026-09-20T01:31:04.421254+00:00,baseline,29.4,659.22,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.45,2026-09-20T01:31:04.449885+00:00,baseline,28.6,659.22,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.479,2026-09-20T01:31:04.479377+00:00,baseline,29.5,659.22,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.508,2026-09-20T01:31:04.507926+00:00,baseline,28.5,659.22,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.537,2026-09-20T01:31:04.536528+00:00,baseline,28.6,659.22,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.565,2026-09-20T01:31:04.565184+00:00,baseline,28.7,659.1,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.596,2026-09-20T01:31:04.596202+00:00,baseline,31.0,659.1,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.625,2026-09-20T01:31:04.625029+00:00,baseline,28.8,659.1,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867864.654,2026-09-20T01:31:04.654005+00:00,baseline,29.0,659.1,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867864.682,2026-09-20T01:31:04.682287+00:00,baseline,28.3,659.16,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867864.711,2026-09-20T01:31:04.711443+00:00,baseline,29.2,659.16,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.741,2026-09-20T01:31:04.741168+00:00,baseline,29.7,659.16,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.769,2026-09-20T01:31:04.769492+00:00,baseline,28.3,659.33,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.798,2026-09-20T01:31:04.798057+00:00,baseline,28.6,659.33,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.826,2026-09-20T01:31:04.826304+00:00,baseline,28.2,659.33,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867864.855,2026-09-20T01:31:04.854838+00:00,baseline,28.5,659.33,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867864.883,2026-09-20T01:31:04.882879+00:00,baseline,28.0,659.6,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867864.912,2026-09-20T01:31:04.911689+00:00,baseline,28.8,659.6,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.94,2026-09-20T01:31:04.940192+00:00,baseline,28.5,659.6,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.968,2026-09-20T01:31:04.968465+00:00,baseline,28.3,659.54,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.998,2026-09-20T01:31:04.997512+00:00,baseline,29.0,659.54,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867865.031,2026-09-20T01:31:05.031482+00:00,baseline,34.0,659.54,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867865.06,2026-09-20T01:31:05.059785+00:00,baseline,28.3,659.54,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867865.09,2026-09-20T01:31:05.089555+00:00,baseline,29.8,659.96,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867865.118,2026-09-20T01:31:05.118270+00:00,baseline,28.7,659.96,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867865.147,2026-09-20T01:31:05.146992+00:00,baseline,28.7,659.96,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867865.175,2026-09-20T01:31:05.175339+00:00,baseline,28.3,659.61,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867865.204,2026-09-20T01:31:05.204014+00:00,baseline,28.7,659.61,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867865.233,2026-09-20T01:31:05.233083+00:00,baseline,29.1,659.61,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867865.262,2026-09-20T01:31:05.262043+00:00,baseline,29.0,659.61,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867865.291,2026-09-20T01:31:05.290857+00:00,baseline,28.8,659.88,99.0,5.0,884.0,1980.0,3201.0,57.0
1789867865.319,2026-09-20T01:31:05.319430+00:00,baseline,28.6,659.88,99.0,5.0,884.0,1980.0,3201.0,57.0
