nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 04:54:15.813, 0, 119.18 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:54:15.813, 1, 126.11 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:54:20.815, 0, 153.47 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:54:20.815, 1, 161.40 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:54:25.816, 0, 147.23 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:54:25.816, 1, 155.25 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:54:30.816, 0, 118.85 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:54:30.816, 1, 125.72 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:54:35.817, 0, 118.80 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:54:35.817, 1, 125.73 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:54:40.817, 0, 141.18 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:54:40.818, 1, 148.20 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:54:45.818, 0, 135.15 W, 47 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:54:45.818, 1, 142.74 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 47
2026/09/25 04:54:50.818, 0, 118.86 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:54:50.819, 1, 125.66 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:54:55.820, 0, 129.83 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:54:55.820, 1, 136.89 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:00.820, 0, 118.84 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:55:00.820, 1, 126.14 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:05.821, 0, 124.60 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:55:05.821, 1, 132.46 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:10.821, 0, 124.41 W, 21 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:55:10.821, 1, 131.85 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:15.822, 0, 118.87 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:55:15.822, 1, 126.27 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:20.823, 0, 124.70 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:55:20.823, 1, 131.86 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:25.824, 0, 118.96 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 04:55:25.824, 1, 126.36 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:30.824, 0, 124.60 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:55:30.824, 1, 132.01 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:35.825, 0, 119.67 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:55:35.825, 1, 126.48 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:40.825, 0, 125.35 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:55:40.825, 1, 132.11 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:45.826, 0, 119.70 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:55:45.826, 1, 126.60 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:50.826, 0, 124.55 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:55:50.826, 1, 132.07 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:55:55.827, 0, 119.08 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:55:55.828, 1, 126.57 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:56:00.828, 0, 124.60 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:56:00.828, 1, 132.35 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:56:05.828, 0, 119.14 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:56:05.828, 1, 126.61 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:56:10.829, 0, 124.73 W, 21 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:56:10.829, 1, 132.82 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:56:15.829, 0, 119.18 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:56:15.830, 1, 126.62 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:56:20.830, 0, 124.65 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:56:20.831, 1, 132.72 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
