epoch,iso,phase,interval_ms,power.draw,utilization.gpu,utilization.memory,memory.used,clocks.sm,clocks.mem,temperature.gpu
1785388689.714,2026-07-30T05:18:09.714285+00:00,contended,42.9,785.34,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.749,2026-07-30T05:18:09.748963+00:00,contended,34.7,785.34,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.784,2026-07-30T05:18:09.784229+00:00,contended,35.3,785.34,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.821,2026-07-30T05:18:09.821232+00:00,contended,37.0,775.56,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.857,2026-07-30T05:18:09.856954+00:00,contended,35.7,775.56,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.894,2026-07-30T05:18:09.894124+00:00,contended,37.2,775.56,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.932,2026-07-30T05:18:09.931613+00:00,contended,37.5,765.47,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.969,2026-07-30T05:18:09.968797+00:00,contended,37.2,765.47,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.009,2026-07-30T05:18:10.008944+00:00,contended,40.1,757.55,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.042,2026-07-30T05:18:10.042507+00:00,contended,33.6,757.55,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.077,2026-07-30T05:18:10.077464+00:00,contended,35.0,757.55,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.117,2026-07-30T05:18:10.116612+00:00,contended,39.1,750.71,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.151,2026-07-30T05:18:10.151010+00:00,contended,34.4,750.71,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.184,2026-07-30T05:18:10.184036+00:00,contended,33.0,750.71,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.222,2026-07-30T05:18:10.222082+00:00,contended,38.0,747.01,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.257,2026-07-30T05:18:10.256634+00:00,contended,34.6,747.01,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.292,2026-07-30T05:18:10.291710+00:00,contended,35.1,747.01,100.0,3.0,1940.0,1965.0,3996.0,65.0
